,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
47742,2025-04-04 23:00:00,84074.35,83617.39,84031.05,378.43,31720440.34,83860.21,direct,
47743,2025-04-05 00:00:00,83860.22,83405.94,83860.21,435.01,36381191.95,83759.96,direct,
47744,2025-04-05 01:00:00,84230.44,83759.94,83759.96,483.21,40599774.82,83952.58,direct,
47745,2025-04-05 02:00:00,84061.34,83778.4,83952.58,360.79,30279388.52,83941.86,direct,
47746,2025-04-05 03:00:00,83945.05,83603.44,83941.86,293.62,24589263.81,83606.04,direct,
47747,2025-04-05 04:00:00,83836.41,83587.82,83606.04,212.94,17824685.28,83658.47,direct,
47748,2025-04-05 05:00:00,83833.68,83610.8,83658.47,111.41,9329034.69,83665.45,direct,
47749,2025-04-05 06:00:00,83697.99,83311.8,83665.45,245.89,20526484.38,83446.51,direct,
47750,2025-04-05 07:00:00,83529.95,83340.61,83446.51,139.4,11628143.07,83491.28,direct,
47751,2025-04-05 08:00:00,83617.07,83342.13,83491.28,156.66,13080411.25,83492.38,direct,
47752,2025-04-05 09:00:00,83821.27,83488.21,83492.38,196.46,16439064.1,83805.77,direct,
47753,2025-04-05 10:00:00,83867.46,83557.52,83805.77,115.19,9640734.55,83621.0,direct,
47754,2025-04-05 11:00:00,83667.8,83422.13,83621.0,259.19,21665577.15,83435.51,direct,
47755,2025-04-05 12:00:00,83531.77,83108.44,83435.51,310.4,25859659.14,83253.26,direct,
47756,2025-04-05 13:00:00,83309.9,82510.56,83253.26,733.94,60765907.88,82728.19,direct,
47757,2025-04-05 14:00:00,82995.26,82653.31,82728.19,530.29,43933655.29,82892.49,direct,
47758,2025-04-05 15:00:00,82892.52,82357.52,82892.49,638.75,52768619.82,82587.24,direct,
47759,2025-04-05 16:00:00,82793.39,82576.62,82587.24,277.7,22961328.88,82716.18,direct,
47760,2025-04-05 17:00:00,82920.89,82659.67,82716.18,238.45,19749401.97,82844.95,direct,
47761,2025-04-05 18:00:00,83075.45,82829.18,82844.95,329.54,27343101.28,83016.22,direct,
47762,2025-04-05 19:00:00,83111.88,82755.34,83016.22,241.74,20050350.9,82828.87,direct,
47763,2025-04-05 20:00:00,83083.46,82809.81,82828.87,285.79,23711467.73,83048.21,direct,
47764,2025-04-05 21:00:00,83196.78,82883.61,83048.21,298.26,24770901.66,82892.85,direct,
47765,2025-04-05 22:00:00,83181.58,82892.85,82892.85,227.24,18871758.46,83161.46,direct,
47766,2025-04-05 23:00:00,83631.71,83115.38,83161.46,356.79,29727082.83,83503.37,direct,
47767,2025-04-06 00:00:00,83578.18,83401.04,83503.37,323.54,27005029.1,83495.06,direct,
47768,2025-04-06 01:00:00,83756.1,83405.08,83495.06,315.62,26366155.62,83408.72,direct,
